STOCK_REGION,STATION_ID,CLAT,CLON
TannerE,H-07,57.33,-164
TannerE,H-08,57.33,-163.38
TannerE,H-09,57.33,-162.76
TannerE,H-10,57.33,-162.15
TannerE,H-11,57.33,-161.53
TannerE,H-12,57.33,-160.93
TannerE,H-13,57.33,-160.3
TannerE,H-14,57.33,-159.66
TannerE,H-15,57.33,-159.06
TannerE,H-16,57.33,-158.4
TannerE,I-04,57.66,-165.88
TannerE,I-05,57.66,-165.25
TannerE,I-06,57.66,-164.61
TannerE,I-07,57.66,-164
TannerE,I-08,57.66,-163.36
TannerE,I-09,57.66,-162.75
TannerE,I-10,57.66,-162.13
TannerE,I-11,57.66,-161.5
TannerE,I-12,57.66,-160.88
TannerE,I-13,57.66,-160.26
TannerE,I-14,57.66,-159.63
TannerE,I-15,57.66,-159.01
TannerE,I-16,57.66,-158.35
TannerE,J-04,58,-165.9
TannerE,J-05,58,-165.25
TannerE,J-06,58,-164.61
TannerE,J-07,58,-164
TannerE,J-08,58,-163.36
TannerE,J-09,58,-162.75
TannerE,J-10,58,-162.11
TannerE,J-11,58,-161.48
TannerE,J-12,58,-160.85
TannerE,J-13,58,-160.21
TannerE,J-14,58,-159.6
TannerE,J-15,58,-158.96
TannerE,J-16,58,-158.31
TannerE,K-04,58.33,-165.91
TannerE,K-05,58.33,-165.28
TannerE,K-06,58.33,-164.63
TannerE,K-07,58.33,-164
TannerE,K-08,58.33,-163.36
TannerE,K-09,58.33,-162.71
TannerE,K-10,58.33,-162.05
TannerE,K-11,58.33,-161.4
TannerE,K-12,58.33,-160.75
TannerE,K-13,58.33,-160.18
TannerE,K-14,58.33,-159.55
TannerE,L-04,58.66,-165.93
TannerE,L-05,58.66,-165.3
TannerE,L-06,58.66,-164.65
TannerE,L-07,58.66,-164
TannerE,L-08,58.66,-163.35
TannerE,L-09,58.66,-162.7
TannerE,M-04,59,-165.93
TannerE,M-05,59,-165.3
TannerE,M-06,59,-164.65
TannerE,M-07,59,-164
TannerE,M-08,59,-163.35
TannerE,N-04,59.33,-165.95
TannerE,N-05,59.33,-165.31
TannerE,N-06,59.33,-164.65
TannerE,N-07,59.33,-164
TannerE,O-04,59.66,-165.96
TannerE,Z-05,54.66,-165.15
TannerW,F-18,56.66,-168.28
TannerW,F-19,56.66,-168.9
TannerW,F-20,56.66,-169.5
TannerW,F-21,56.66,-170.11
TannerW,F-22,56.66,-170.73
TannerW,G-18,57,-168.33
TannerW,G-19,57,-168.95
TannerW,G-20,57,-169.55
TannerW,G-21,57,-170.16
TannerW,G-22,57,-170.78
TannerW,GF1918,56.83333,-168.61667
TannerW,GF2019,56.83333,-169.3
TannerW,GF2120,56.83333,-169.9
TannerW,GF2221,56.83333,-170.48333
TannerW,H-18,57.33,-168.36
TannerW,H-19,57.33,-168.98
TannerW,H-20,57.33,-169.6
TannerW,H-21,57.33,-170.21
TannerW,H-22,57.33,-170.85
TannerW,HG1918,57.16667,-168.63333
TannerW,HG2019,57.16667,-169.31667
TannerW,HG2120,57.16667,-169.9
TannerW,HG2221,57.16667,-170.48333
TannerW,I-18,57.66,-168.4
TannerW,I-19,57.66,-169.03
TannerW,I-20,57.66,-169.65
TannerW,I-21,57.66,-170.26
TannerW,I-22,57.66,-170.9
